,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
232,chuy,19,UY,1660789423,87,-33.6971,-53.4616,282.61,5.82
233,longyearbyen,40,SJ,1660789424,76,78.2186,15.6401,280.06,4.63
234,zhezkazgan,0,KZ,1660789424,47,47.8043,67.7144,288.14,5.0
235,grand gaube,0,US,1660789424,24,38.8755,-109.5012,303.7,1.21
236,kutum,38,SD,1660789424,81,14.2,24.6667,295.31,5.74
237,bela,23,IN,1660789425,70,25.9333,81.9833,302.87,4.69
238,saint-joseph,0,RE,1660789425,76,-21.3667,55.6167,291.36,2.91
239,santa cruz,100,PH,1660789426,92,17.486,120.4348,297.74,2.44
240,shache,42,CN,1660789426,37,38.4167,77.2406,297.98,4.03
241,sydney mines,0,AU,1660789281,54,-33.8679,151.2073,292.9,3.6
242,skibbereen,100,IE,1660789427,99,51.55,-9.2667,289.92,5.03
243,sistranda,11,NO,1660789427,72,63.7256,8.834,280.13,7.91
244,rafai,100,CF,1660789427,99,4.95,23.9167,292.82,1.32
245,sibu,20,MY,1660789428,83,2.3,111.8167,299.32,1.54
246,chingirlau,100,KZ,1660789428,51,51.095,54.0814,293.15,2.7
247,miura,100,JP,1660789366,92,35.14,139.6192,300.36,13.49
248,mandera,100,KE,1660789428,62,3.9366,41.867,297.22,6.74
249,altamira,0,BR,1660789429,59,-3.2033,-52.2064,296.64,0.87
250,belmonte,33,BR,1660789429,82,-15.8631,-38.8828,294.73,4.25
251,mangrol,100,IN,1660789429,86,21.1167,70.1167,299.78,9.17
252,muscat,90,OM,1660789297,70,23.6139,58.5922,303.16,2.87
253,cabinda,15,AO,1660789430,92,-5.55,12.2,294.56,2.3
254,sambo creek,100,NG,1660789430,90,11.4865,7.4833,294.52,2.0
255,comodoro rivadavia,9,BR,1660789431,65,-13.6631,-59.7858,295.68,1.8
256,husavik,96,IS,1660789431,80,66.0449,-17.3389,282.95,3.93
257,eyrarbakki,100,IS,1660789431,85,63.863,-21.1481,282.18,5.72
258,hithadhoo,100,MV,1660789432,76,-0.6,73.0833,300.69,5.28
259,ranfurly,100,NZ,1660789432,98,-45.1333,170.1,282.1,0.95
260,kaitangata,100,NZ,1660789433,96,-46.2817,169.8464,282.96,3.11
261,vestmannaeyjar,100,IS,1660789433,80,63.4427,-20.2734,282.83,7.85
262,rock springs,20,US,1660789433,65,42.6667,-89.0668,295.62,0.0
263,xinzhou,100,CN,1660789434,79,38.4092,112.7333,297.25,1.01
264,ulladulla,100,AU,1660789434,48,-35.35,150.4667,291.68,4.01
265,cascais,5,PT,1660789434,75,38.6979,-9.4215,291.74,13.86
266,cockburn town,99,AU,1660789435,26,-32.0833,141.0,292.79,9.41
267,aykino,55,RU,1660789435,90,62.2248,49.9922,285.9,1.68
268,severo-yeniseyskiy,100,RU,1660789435,93,60.3725,93.0408,283.8,1.27
269,uhlove,37,UA,1660789436,75,44.8215,33.6045,296.49,3.01
270,tara,100,RU,1660789436,84,56.8944,74.371,280.41,4.04
271,shishou,50,CN,1660789436,55,29.7226,112.419,307.74,4.73
272,save,14,BJ,1660789437,87,8.0425,2.486,294.7,1.25
273,jiayuguan,100,CN,1660789437,55,39.8167,98.3,292.16,5.41
274,kahului,20,US,1660789438,55,20.8947,-156.47,305.16,9.77
275,mawlaik,100,MM,1660789438,91,23.6333,94.4167,300.64,0.27
276,odienne,75,CI,1660789438,96,9.51,-7.5692,293.54,1.45
277,komsomolskiy,0,UZ,1660789439,35,40.4272,71.7189,297.55,2.06
278,changji,0,CN,1660789439,27,44.0167,87.3167,296.59,1.0
279,punta alta,100,PH,1660789361,69,8.9897,125.34,302.21,0.55
280,goma,100,CD,1660789439,83,-1.6792,29.2228,290.56,0.94
281,okhotsk,87,RU,1660789440,79,59.3833,143.3,289.78,5.39
282,krasnoselkup,79,RU,1660789440,62,65.7,82.4667,286.84,7.07
283,mao,20,ES,1660789441,78,39.8885,4.2658,299.46,6.69
284,petropavlovsk-kamchatskiy,40,RU,1660789441,41,53.0452,158.6483,296.48,7.0
285,muros,5,ES,1660789441,84,42.7762,-9.0603,288.06,4.34
286,sur,93,OM,1660789442,56,22.5667,59.5289,304.95,2.23
287,svetlyy,92,RU,1660789442,74,54.675,20.1347,293.13,2.95
288,berlevag,100,NO,1660789442,93,70.8578,29.0864,282.15,9.26
289,kodiak,100,US,1660789443,67,57.79,-152.4072,288.88,4.12
290,baykit,87,RU,1660789443,63,61.67,96.37,288.98,1.48
291,kearney,0,US,1660789277,78,40.6995,-99.0815,293.85,2.57
292,necochea,19,AR,1660789444,79,-38.5473,-58.7368,277.49,5.39
293,monte alegre,0,FR,1660789444,83,42.4687,9.3916,295.85,2.57
294,half moon bay,44,LR,1660789445,82,6.3807,-10.6953,298.09,2.84
295,gambiran,55,ID,1660789445,63,-6.7988,111.4951,300.96,3.45
296,ilulissat,100,GL,1660789445,100,69.2167,-51.1,277.16,3.09
297,ust-ilimsk,100,RU,1660789446,95,58.0006,102.6619,282.41,4.03
298,magaria,100,NE,1660789446,81,12.9983,8.9099,297.61,4.93
299,tuatapere,100,NZ,1660789446,93,-46.1333,167.6833,284.59,0.78
300,muravlenko,87,RU,1660789447,87,63.7898,74.523,281.41,3.13
301,kibala,100,TD,1660789447,98,9.1104,18.3463,293.9,1.52
302,chilliwack,0,CA,1660789447,50,49.1747,-121.9443,305.18,0.51
303,upernavik,100,GL,1660789448,96,72.7868,-56.1549,278.01,3.08
304,magugu,6,TZ,1660789448,69,-4.0167,35.7667,287.89,1.77
305,loukhi,63,RU,1660789342,78,66.0764,33.0381,291.85,4.67
306,saskylakh,100,RU,1660789449,86,71.9167,114.0833,279.13,6.35
307,coihaique,0,CL,1660789449,75,-45.5752,-72.0662,275.49,0.51
308,guerrero negro,100,MX,1660789450,96,17.6667,-100.0,292.68,1.71
309,iquitos,20,PE,1660789450,89,-3.7481,-73.2472,299.17,1.54
310,lakatoro,74,VU,1660789450,71,-16.0999,167.4164,301.33,2.83
